simDay,A,D,E,I1,I2,R1,R2,S
24,0.00040875414059900417,3.0021951571551283e-07,6.991840798854809e-05,3.582191643497569e-05,2.8907305883455846e-05,0.0001433322581293376,4.9664827529210044e-05,0.9992633009239197
25,0.0004718149546404367,3.5624163659385705e-07,8.085170074693237e-05,4.124095546663883e-05,3.329414646837893e-05,0.000167464966613078,6.000352330447137e-05,0.9991449735111234
26,0.0005447736924121808,4.203408508566749e-07,9.326691433108453e-05,4.754733282498128e-05,3.834736508129157e-05,0.00019517911865235448,7.206745115552421e-05,0.9990083977846915
27,0.0006289154847973062,4.936747238916501e-07,0.00010770320533761827,5.482945226419978e-05,4.41819031257466e-05,0.00022704171720770553,8.611193897797888e-05,0.9988507226235654
28,0.000726076593357895,5.776163713771027e-07,0.00012435102917898237,6.325330473682591e-05,5.091985744548782e-05,0.00026370217295711954,0.00010243615262419398,0.998668683273328
29,0.0008382840114718521,6.737720686565102e-07,0.0001435396180161473,7.299472107220981e-05,5.870319877871479e-05,0.0003059117999094852,0.00012138499762745576,0.9984585078810556
30,0.0009678025497424025,7.840113936768319e-07,0.00016573436369790253,8.424388712020588e-05,6.76967942537243e-05,0.0003545387908354091,0.00014335644362783106,0.9982158431593288
31,0.0011173402478657226,9.104982439995496e-07,0.00019133241779058612,9.723909406079829e-05,7.80862235371911e-05,0.0004105776511697285,0.00016880920489576506,0.9979357046624362
32,0.0012899587632736894,1.0557479446432768e-06,0.00022087136118007552,0.00011224380614958092,9.008725816265378e-05,0.0004751798481020562,0.00019827416958565977,0.9976123290456015
33,0.0014886061548268176,1.2227322819803429e-06,0.00024984363557837,0.00012945870016066682,0.00010395753565722827,0.0005497093434171641,0.0002323745203095294,0.9972448273777682
34,0.001662309289359113,1.4147712003417597e-06,0.00020836751824702444,0.0001409991543794423,0.0001190117447471151,0.0006340336256731677,0.0002717298214333239,0.9969621340749604
35,0.0018076778624665966,1.6347344363285268e-06,0.00021530909811774552,0.00014747821822467367,0.00013371353106978056,0.0007254672473335632,0.00031692648550367826,0.9966517928228471
36,0.0019571525359549907,1.883637461944919e-06,0.00023219204341401,0.00015451092434639506,0.00014772855826832433,0.0008228576425125054,0.00036838597780103897,0.996315288680241
37,0.0021181737635815614,2.16109598926718e-06,0.0002510440058861386,0.00016314189587560195,0.00016138441612669897,0.0009262269769532453,0.0004265009475132253,0.9959513668980744
38,0.0022919162055666394,2.4659350401395805e-06,0.00027166596745603925,0.00017329494731884535,0.00017511243535067985,0.001035953639637906,0.000491665973605279,0.9955579248960243
39,0.002479872761386896,2.797395291668223e-06,0.00029371081128938976,0.0001849950187789633,0.00018921844027464314,0.0011525573454129092,0.0005643269353772828,0.9951325212921885
40,0.0026832155275758217,3.154683729527771e-06,0.000317283709972162,0.00019822159957790946,0.0002039798597645432,0.001276626250992121,0.0006449478394872326,0.9946725705289008
41,0.0029026952881506278,3.537865295966495e-06,0.0003431340229969329,0.0002128801883123545,0.00021966425544755406,0.0014088514428416393,0.0007340448819370576,0.9941751920550181
42,0.003139951230381761,3.947123090431716e-06,0.0003710672677415995,0.00022905382988262554,0.00023647055006097191,0.0015499601785088173,0.0008321705905905135,0.9936373792297434
43,0.0033949819464725007,4.389342115827524e-06,0.0003980312666450026,0.0002465961990815037,0.00025453523033692094,0.001700746769610383,0.0009399322625354297,0.9930607869832025
44,0.00366328092178362,4.89735009365727e-06,0.0004210116237946797,0.0002648427835237282,0.00027373833716568625,0.0018617988016779888,0.0010579822411394128,0.9924524479408214
45,0.003938823749326718,5.523184052796774e-06,0.0004396136016863392,0.0002831264663131375,0.0002937095681443282,0.0020332466442849273,0.0011869875278523406,0.9918189692583395
46,0.004216173587403694,6.324325903622554e-06,0.00045359927678515437,0.00030102871797036096,0.00031396966063836865,0.0022147423075582835,0.001327587235482747,0.9911665748882574
47,0.004490235366063911,7.357866960040927e-06,0.0004644766406608832,0.000318264601221084,0.00033402704055528567,0.0024055397727952782,0.0014803563513214619,0.9904997423604218
48,0.004759788324532956,8.664006906074102e-06,0.00047361196438818723,0.0003351328752149022,0.0003535191108245505,0.0026046162634589297,0.0016457822949058226,0.9898188851597682
49,0.005023279870332862,1.0268613977797454e-05,0.00048474762038126345,0.00035173277152305096,0.0003723060164582356,0.002810978431400309,0.0018242428131717318,0.9891224438627545
50,0.005283382965643099,1.2177295789796215e-05,0.0004968836227321995,0.000368714977521903,0.000390413354956364,0.003023690221441527,0.0020160338608405286,0.9884087037010747
51,0.0055421748973112665,1.4384155814310352e-05,0.0005112203511727771,0.0003864677197246584,0.00040804974902039514,0.003242085536698375,0.0022213770734192655,0.9876742405168389
52,0.0058031246677025675,1.6871798666428943e-05,0.0005293147505999833,0.00040547236177209024,0.00042554050066291095,0.003465770487695611,0.0024404471632199624,0.9869134582696806
53,0.006071066349321043,1.9610176176280457e-05,0.0005504448017776774,0.0004262692530454064,0.0004433478600983058,0.0036947366216097503,0.002673400973830303,0.9861211239641409
54,0.006349191064197485,2.25699702386514e-05,0.0005743279367927296,0.00044905091590461587,0.0004619690610441093,0.003929326326257684,0.0029204045916147504,0.9852931601339499
55,0.006639055912607835,2.5734258530389287e-05,0.0006020917099909144,0.00047377312158071477,0.0004817612669849661,0.004170227803659489,0.003181683620850645,0.9844256723057948
56,0.006944033737469085,2.9085722686568842e-05,0.000631187805778214,0.0005007076830242212,0.000503044835040832,0.004418123773399356,0.003457506509692723,0.9835163099329091
57,0.007265959092761442,3.261535921139376e-05,0.0006613412618633263,0.0005298973140374331,0.000526073720703845,0.004673872088897985,0.0037482043765976985,0.9825620367859266
58,0.007603959939675959,3.632256772873681e-05,0.0006966779599787551,0.0005609468442773185,0.0005510797414559907,0.004938505107955753,0.004054177412602009,0.9815583304263252
59,0.007963496876936838,4.02032472999357e-05,0.0007306092822429158,0.000594580865769854,0.0005781611691731824,0.0052129089363507665,0.0043759000583271385,0.9805041395638989
60,0.008341865007013458,4.4266163846505685e-05,0.0007702613565103792,0.0006301280949194319,0.000607511431981768,0.005498277274070539,0.004713909994816165,0.9793937806768416
61,0.008743918691709748,4.851366494050714e-05,0.0008100015632399383,0.0006682423479163945,0.0006391912172701293,0.005795606989777458,0.005068828320593763,0.9782256972045514
62,0.009169869608680827,5.295597616697224e-05,0.0008520147631077894,0.0007087842221942508,0.0006733208976459026,0.006106077088339101,0.00544134401591516,0.9769956334279498
63,0.00961917590418999,5.760613903429671e-05,0.0008997688352983484,0.0007514927093124792,0.0007100269050848405,0.006430924069099201,0.005832221218890971,0.9756987842190898
64,0.010098040415547512,6.247009595713626e-05,0.0009453926041122656,0.0007972822262629396,0.0007493326665582063,0.006771202968102353,0.006242306528388584,0.9743339724950706
65,0.010602127074408715,6.75688257769576e-05,0.0009987938025108696,0.0008452459049213229,0.0007914211743024831,0.007128332704730903,0.006672509990805919,0.9728940005225429
66,0.01113799513614643,7.291031977373536e-05,0.0010515876912420299,0.0008963685465777513,0.0008363154667482967,0.007503422767237207,0.007123836897405538,0.9713775631748687
67,0.011701471414757513,7.852427093165016e-05,0.0011008360701835337,0.0009491267766745773,0.0008844331595606133,0.007898025888688745,0.007597422482913246,0.96979015993629
68,0.01228464169318237,8.443644335453584e-05,0.0011464746232388366,0.001001756199065873,0.0009356461704191823,0.008312898680123262,0.008094412232943151,0.9681397339576724
