simDay,asymptomatic,deceased,exposed,infected1,infected2,recovered1,recovered2,susceptible
19,6110.120021607716,5.63483189014711,748.6066289401377,496.51875572722366,467.6140214835798,2303.1092705185833,720.9280505341883,57334228.25023913
20,6631.838084892665,6.764926426430332,792.0221073032799,523.1837624723955,512.2014862409751,2644.523295510353,885.7423234959193,57333084.505833484
21,7180.108903623594,8.003092142191258,850.7972717401417,552.934718318498,556.336091711797,3005.5246845188713,1073.9667348667026,57331853.11032291
22,7767.78237327092,9.343935621926487,917.4837886549227,587.2560627493227,600.986515437395,3386.996186845975,1286.9318411149643,57330524.00111613
23,8401.243343558763,10.782812597541696,991.6984854947154,626.462569393413,647.1735410937804,3790.545625322828,1526.05336819633,57329086.82207416
24,9086.04605741834,12.316810915797895,1072.681692101903,670.7417133189156,695.8084905661796,4218.212451824846,1792.8712888548607,57327532.103314824
25,9827.136787827307,13.945146433363353,1160.7365126518507,720.2021210005464,747.6975843618696,4672.366585956335,2089.068357036501,57325849.62872457
26,10629.613832271623,15.669428881533905,1256.4192190682938,774.9986769638608,803.549759719138,5155.679358140325,2416.498345005271,57324028.353199765
27,11498.93143948165,17.493577005364145,1360.3273172460108,835.354330760996,864.0066782216736,5671.096962682907,2777.2017976113425,57322056.36971681
28,12440.954412398933,19.42363828031111,1473.1472472106964,901.5564639560441,929.6692111534342,6221.835111331274,3173.420642999662,57319920.77509251
29,13462.049176015533,21.46776189970922,1595.631503686609,973.9595808967285,1001.1169587541697,6811.406304533591,3607.6331621702757,57317607.517371856
30,14569.080205002596,23.63581493633435,1728.594024079344,1052.975584611959,1078.928584941589,7443.603799506392,4082.550919721484,57315101.41288702
31,15769.475457026118,25.93934256872198,1872.9155995279375,1139.0754625638904,1163.6939009366645,8122.530698048835,4601.148088329689,57312386.00327082
32,17071.277219932894,28.39147232110486,2029.550032529842,1232.7889563630429,1256.0259641556795,8852.62302699473,5166.684898136715,57309443.44024938
33,18483.584934586674,31.006858882912393,2205.195710331427,1334.7697294650973,1356.5693376418587,9638.688966440699,5782.721304023787,57306248.244978465
34,20637.678276143837,33.80206544213108,3300.4666461077913,1540.447892397515,1474.554611522971,10504.783942534745,6449.62594210629,57301139.42244355
35,23636.166223559016,36.808146925817994,3962.8471180323136,1846.008281883136,1635.3221752837967,11507.3811518492,7177.745654639284,57295278.50306765
36,27203.987650740215,40.09024048194763,4609.357448413252,2197.5486172240876,1847.1533861497635,12688.204923283136,7977.67490907477,57288516.76464447
37,31354.409717901643,43.74472262979188,5335.843722622786,2592.5583600544232,2112.0933091887177,14080.83285274112,8862.35039618375,57280698.9487385
38,36164.819758356905,47.889840394777494,6172.0572163580955,3038.600887599997,2432.733797891807,15720.391781716959,9846.991978237806,57271657.29655927
39,41734.9202665153,52.65912158541438,7137.863998927682,3545.622148896505,2813.3019371962864,17646.040589005155,10949.27668929961,57261201.0970684
40,48181.47939524251,58.199430398093035,8253.258148872923,4124.870948180862,3259.8070903333173,19902.22238316689,12189.634976403238,57249111.30944722
41,55639.07899444917,64.67130656034395,9540.968299858434,4788.886108425859,3780.065979960819,22539.7763587386,13591.62564239329,57235135.709129445
42,64262.6700777957,72.25114355481332,11027.13771646431,5551.765661320222,4383.74802239772,25617.065295468317,15182.383038572176,57218983.76086424
43,74229.91704520912,81.13400211523067,12741.843323614481,6429.40933228984,5082.43580232805,29200.92866630123,16993.10265652331,57200322.010991454
44,85746.60768216001,91.5392175645014,14719.598072064335,7440.034570804541,5889.909086047173,33368.67472530456,19059.916629933537,57178764.50183594
45,99049.88850247892,103.71501589393029,17000.318028387275,8604.454844455126,6822.3363741245885,38209.51215288266,21424.581727568133,57153865.97517404
