simDay,A,D,E,I1,I2,R1,R2,S
58,0.007603959939675959,3.632256772873681e-05,0.0006966779599787551,0.0005609468442773185,0.0005510797414559907,0.004938505107955753,0.004054177412602009,0.9815583304263252
59,0.007963496876936838,4.02032472999357e-05,0.0007306092822429158,0.000594580865769854,0.0005781611691731824,0.0052129089363507665,0.0043759000583271385,0.9805041395638989
60,0.008341865007013458,4.4266163846505685e-05,0.0007702613565103792,0.0006301280949194319,0.000607511431981768,0.005498277274070539,0.004713909994816165,0.9793937806768416
61,0.008743918691709748,4.851366494050714e-05,0.0008100015632399383,0.0006682423479163945,0.0006391912172701293,0.005795606989777458,0.005068828320593763,0.9782256972045514
62,0.009169869608680827,5.295597616697224e-05,0.0008520147631077894,0.0007087842221942508,0.0006733208976459026,0.006106077088339101,0.00544134401591516,0.9769956334279498
63,0.00961917590418999,5.760613903429671e-05,0.0008997688352983484,0.0007514927093124792,0.0007100269050848405,0.006430924069099201,0.005832221218890971,0.9756987842190898
64,0.010098040415547512,6.247009595713626e-05,0.0009453926041122656,0.0007972822262629396,0.0007493326665582063,0.006771202968102353,0.006242306528388584,0.9743339724950706
65,0.010602127074408715,6.75688257769576e-05,0.0009987938025108696,0.0008452459049213229,0.0007914211743024831,0.007128332704730903,0.006672509990805919,0.9728940005225429
66,0.01113799513614643,7.291031977373536e-05,0.0010515876912420299,0.0008963685465777513,0.0008363154667482967,0.007503422767237207,0.007123836897405538,0.9713775631748687
67,0.011701471414757513,7.852427093165016e-05,0.0011008360701835337,0.0009491267766745773,0.0008844331595606133,0.007898025888688745,0.007597422482913246,0.96979015993629
68,0.01228464169318237,8.443644335453584e-05,0.0011464746232388366,0.001001756199065873,0.0009356461704191823,0.008312898680123262,0.008094412232943151,0.9681397339576724
69,0.012885675303909957,9.066022671498143e-05,0.0011924863782706108,0.0010543374908366704,0.000989360857620875,0.00874804909112037,0.008615839716418754,0.9664235909351075
70,0.013504733830514565,9.720793043943518e-05,0.0012396170401518867,0.0011071340579678266,0.001045179378349636,0.009203478494723695,0.009162712347166578,0.9646399369206862
71,0.014142606048631828,0.00010409001328680326,0.001288035431739289,0.001160467820653256,0.001102815201570556,0.00967919080717554,0.009736009381862332,0.9627867852950801
72,0.014799621836548257,0.00011131616809255981,0.0013371962178403206,0.0012144199681265377,0.0011621772283621366,0.010175307240496497,0.010336686069613663,0.9608632752709197
73,0.015475879234596623,0.00011889533305875937,0.0013873691589586282,0.001269093740370809,0.0012231319731816435,0.01069191330594692,0.010965686813412503,0.9588680304404733
74,0.01617147875748158,0.00012683476879897737,0.001438765983980915,0.0013245459256436907,0.0012856349979267717,0.011229152906470452,0.011623931776812688,0.9567996548828844
75,0.016886685393237948,0.0001351445381805549,0.0014903635781432078,0.0013808242882841076,0.001349631093913862,0.01178716718437709,0.012312350925763037,0.9546578329980999
76,0.017621540269450984,0.0001438326387752199,0.0015419722149453503,0.0014379765270317384,0.0014150666798153776,0.01236607695760508,0.013031853052844298,0.952441681659532
77,0.018374853061159577,0.0001529067487654502,0.0015941466122776963,0.0014957901423011757,0.0014819363922121186,0.012966050543847083,0.013783359567226854,0.9501509569322097
78,0.019146084456205272,0.00016237551286201593,0.0016464460479871424,0.001554188838168679,0.0015501894338137221,0.013587157035711105,0.014567808499605657,0.9477857501756463
79,0.019934569731237212,0.0001722470806185901,0.0016984955082655132,0.0016130905207867793,0.001619762356631176,0.014229411983281391,0.015386132925099636,0.9453462898940794
