simDay,asymptomatic,deceased,exposed,infected1,infected2,recovered1,recovered2,susceptible
42,64126.72774525305,73.44767265408717,10708.251453147444,5528.521588046333,4383.430204417225,25605.011567468704,15207.953918445539,57219447.43767038
43,73377.97732462097,86.48748456572298,11780.232651764793,6311.006783579597,5054.6586887726735,29153.73794496221,17021.891232836988,57202294.789708726
44,83229.00214365941,107.08982881242402,12756.206887264465,7112.915164097464,5785.711010884934,33204.084591461964,19086.381469697397,57183799.39072392
45,93575.0656219213,138.14069397338042,13683.912713032969,7928.553631387531,6562.04209558433,37765.93556798335,21433.281909557092,57163993.84958638
46,104393.65930968343,181.88577772735417,14604.4033223639,8764.483974749712,7373.058892397791,42842.47775763421,24093.763668322244,57142827.04911694
47,115657.68206190098,240.13166808610214,15631.279974011477,9623.977940295741,8213.074284249893,48436.02632608822,27098.036751386702,57120180.57281381
48,127449.88306374756,313.9728397719488,16793.405610035385,10525.372626678169,9080.916655975332,54549.63315706748,30475.53790625544,57095892.05996025
49,139919.21101045836,403.76877122918194,18042.803831701385,11492.758316211093,9982.117362355539,61193.99865559615,34255.315006634104,57069790.80886563
50,153185.34648931297,509.6537161509392,19485.004684190993,12541.195386030815,10926.970584038325,68390.60728395527,38466.83884613963,57041575.164829984
51,167453.10913968764,631.3630564609432,21128.855724103843,13696.01977557645,11929.242728649711,76171.25898188572,43140.89533472641,57010930.037078716
52,182872.22281869696,768.5654823175273,23042.764770524802,14969.083150791581,13007.300613859628,84581.79789415777,48309.89796505984,56977529.149124414
53,199688.63447929727,921.349385113207,25104.696573851634,16387.7303622489,14176.38405587049,93682.28349417895,54011.800052927516,56941107.903416336
54,218028.40363532444,1090.0813706774725,27394.55922153059,17957.615485570113,15454.299280345858,103541.01830555197,60286.967457784296,56901327.83706304
55,238034.7415799334,1275.442298790583,29978.220643859047,19686.802600596537,16858.040482787972,114235.27784660058,67180.56361975036,56857831.692747496
56,260006.01655872996,1478.183800844889,32667.60770201416,21609.851091367953,18401.70020799083,125847.2409758599,74742.8561041962,56810327.32537881
57,283928.6960676927,1699.9365058793228,35848.9020249222,23705.61599591959,20104.971932633947,138480.12831499337,83030.77425045798,56758281.756727315
58,310225.0207362727,1941.8239118460526,39170.805079273385,26028.51168322117,21980.812703302072,152231.7774721297,92106.67932363728,56701395.350910135
59,338976.19211798086,2205.8128694627853,42904.589486787394,28571.969638149512,24048.883021236885,167221.0338270629,102039.4839760313,56639112.816883124
60,370478.59541429067,2493.7953791612454,46980.336569473795,31365.790923762765,26326.45301316578,183571.47777483403,112905.7750596711,56570958.557685465
61,405075.24334318785,2807.882424078722,51284.56278035802,34446.32664404681,28831.61601490093,201417.87824622617,124790.63184769788,56496426.640519336
62,442799.6476888897,3150.945350271415,56272.33609010752,37794.11828895679,31589.294574085532,220915.9547751353,137786.77757122755,56414771.70748112
63,484300.0674126761,3525.1447647698837,61370.9680679654,41495.731180463685,34615.83234324505,242216.14593891948,151996.81054182543,56325560.081569955
64,529502.7619795304,3934.169838087353,67306.18679423851,45509.01300015654,37942.024779750864,265506.2974337867,167533.47345972608,56227846.85453454
65,579089.3351058968,4380.759508971852,73529.41021656367,49922.30739586233,41587.950774842815,290965.5839997784,184520.41739813398,56121085.01741976
66,633275.7907813358,4868.786010532614,80345.58027640906,54740.08831363397,45583.900105325876,318803.90580400464,203092.86383602754,56004369.86669255
67,692179.5281266576,5403.183380886132,87287.40975356272,59923.481066981105,49970.56347011691,349246.0772036403,223402.42303577083,55877668.11578218
68,755514.2916204866,5988.835770303005,94243.96093092226,65386.65906425192,54759.09435412937,382475.5129765532,245609.09606576653,55741103.33103741
69,823298.6289624594,6629.92575069349,101572.91334059298,71128.70667014022,59938.127361694394,418645.9358366222,269876.28013430594,55593990.26376332
70,895777.4514623841,7330.608082983227,109341.75094393529,77181.54461898936,65504.200199724095,457913.57303544367,296374.3675696552,55435657.28590669
71,973194.4656587522,8095.0777341288685,117592.45572400496,83571.90437377756,71461.4899586295,500443.85673542495,325280.292174093,55265441.239461005
72,1055821.7974984003,8927.595297498472,126330.87576410809,90327.54761049124,77820.40134443149,546412.5636253995,356780.4246329219,55082659.57604659
73,1143953.0071858854,9832.746962155612,135433.040602996,97474.63749276754,84595.1766611134,596004.5440588375,391069.4634372037,54886718.16541885
74,1237699.3748806396,10815.171436018858,144997.84995917606,105009.23387600122,91801.77139369783,649411.6643635284,428350.58112661703,54676995.13478412
75,1337217.1762616227,11879.67641143033,155071.90311712134,112937.0711703249,99453.65059341631,706826.2613514692,468835.1589903533,54452859.883924074
76,1442838.855666018,13031.23152542195,165451.66782937566,121294.80100457708,107561.20126414057,768440.7124398726,512748.43776728574,54213713.87432311
77,1554548.5711910476,14275.19020634144,176234.51115641065,130055.07105757113,116141.45994109499,834457.1363578154,560321.165873866,53959047.67603571
78,1672415.7890342632,15616.942234726414,187362.7026487462,139211.02824138553,125202.94123313972,905064.9758365126,611796.2837368173,53688410.11885421
79,1796463.2645445075,17062.017907424008,198785.41968792226,148751.1189727733,134750.46441643496,980445.123867847,667426.2023571722,53401397.17006573
80,1926660.8378598758,18616.038846110456,210434.4177566632,158657.88972888334,144785.15024298613,1060767.7305977007,727471.3308584511,53097687.38592912
81,2062899.9774683388,20284.629375385495,222281.29446986655,168905.43370065524,155303.48679803815,1146188.5154482364,792198.7181834454,52777018.72637584
82,2204988.1397140655,22073.44103152993,234270.550846324,179457.30242351338,166297.0542214079,1236845.1663905124,861881.6542652681,52439267.47292723
83,2352699.0514132064,23988.07793456854,246265.90929106055,190276.51813322815,177750.80704793113,1332850.745113242,936798.2485645696,52084451.42432198
84,2505757.098888206,26033.983552455247,258119.1768606966,201323.82403465098,189644.01070334305,1434291.1703552387,1017228.7616795066,51712682.75574571
85,2663660.6599947275,28216.28338067721,269873.3241125392,212530.12691512317,201948.8053536085,1541220.8146210406,1103453.128666752,51324177.63877538
86,2825916.2101479913,30539.767641468625,281560.523970709,223837.15420844013,214629.5130797609,1653659.904434428,1195748.1248090086,50919189.583527975
87,2992202.427731837,33008.508297761255,292911.64445095416,235225.86303590005,227639.7983647624,1771577.062129422,1294384.5667634583,50498130.91104569
88,3161904.962789807,35627.03129560015,303748.2851575579,246618.9527815996,240940.94911342772,1894929.3181537387,1399632.41486968,50061678.86765841
89,3334220.532524304,38398.79802089147,314014.9757629587,257920.2382306554,254483.03066445855,2023623.1865686742,1511751.6578136755,49610668.36223418
90,3508299.919775728,41326.25563054121,323823.65657895035,269044.78418882465,268201.61719288334,2157507.4504114822,1630986.0663836934,49145891.031657726
91,3683412.337162811,44412.3758639803,332870.3143687322,279921.34271370247,282029.82197889476,2296383.651190811,1757569.8052411457,48668481.13329972
92,3858618.4985756245,47658.03841598234,341056.6067024394,290460.2712606395,295892.2875083713,2440000.3901820607,1891715.461995446,48179679.22717922
93,4033202.50193108,51063.24192628293,348131.1070372197,300620.98616109707,309705.1985397433,2588047.438727166,2033610.9527411615,47680699.35475608
94,4205572.281345107,54628.8993801199,355283.00115451065,310214.6162597746,323396.125833624,2740190.583993292,2183415.0992281437,47172380.17462524
95,4375983.602543539,58351.7027402126,360235.74139616487,319361.697605542,336871.5306088151,2896018.8925876883,2341277.2396139223,46656980.37472391
96,4542350.10639177,62231.2666142703,364621.2869704527,327792.672927242,350059.81823453633,3055122.206767917,2507307.7188441902,46135595.70506944
97,4703922.770841617,66263.46747073381,368163.60342749464,335482.0783584054,362864.07024396065,3216998.915320763,2681581.007760217,45609804.86839664
98,4860405.88191991,70442.2693428199,369896.17529506853,342480.93367896636,375187.28608419705,3381104.78356405,2864138.4875083175,45081424.96442649
99,5009562.335359511,74765.57223438207,371976.658087027,348499.06267124927,386965.3244173336,3546927.1421959144,3054986.309140284,44551398.37771412
